country_name,date,parameter,product,value,unit
Hungary,12/1/2023,Net Electricity Production,Total Combustible Fuels,1017.2856,GWh
Hungary,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",223.3661,GWh
Hungary,12/1/2023,Net Electricity Production,Oil and Petroleum Products,6.0429,GWh
Hungary,12/1/2023,Net Electricity Production,Natural Gas,656.5991,GWh
Hungary,12/1/2023,Net Electricity Production,Combustible Renewables,112.094,GWh
Hungary,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,19.1834,GWh
Hungary,12/1/2023,Net Electricity Production,Hydro,8.3045,GWh
Hungary,12/1/2023,Net Electricity Production,Wind,57.3812,GWh
Hungary,12/1/2023,Net Electricity Production,Solar,214.3141,GWh
Hungary,12/1/2023,Net Electricity Production,Geothermal,0.9214,GWh
Hungary,12/1/2023,Net Electricity Production,Not Specified,11.25,GWh
Hungary,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",393.0152,GWh
Hungary,12/1/2023,Total Imports,Electricity,2526.7412,GWh
Hungary,12/1/2023,Total Exports,Electricity,811.0376,GWh
Hungary,12/1/2023,Distribution Losses,Electricity,243.701,GWh
Hungary,12/1/2023,Final Consumption (Calculated),Electricity,3907.9803,GWh
Iceland,12/1/2023,Net Electricity Production,Electricity,1657.187,GWh
Iceland,12/1/2023,Net Electricity Production,Total Combustible Fuels,0.1186,GWh
Iceland,12/1/2023,Net Electricity Production,Oil and Petroleum Products,0.1186,GWh
Iceland,12/1/2023,Net Electricity Production,Hydro,1155.7021,GWh
Iceland,12/1/2023,Net Electricity Production,Wind,1.194,GWh
Iceland,12/1/2023,Net Electricity Production,Geothermal,500.1723,GWh
Iceland,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1657.0684,GWh
Iceland,12/1/2023,Distribution Losses,Electricity,45.2781,GWh
Iceland,12/1/2023,Final Consumption (Calculated),Electricity,1611.9089,GWh
Ireland,12/1/2023,Net Electricity Production,Electricity,2888.7039,GWh
Ireland,12/1/2023,Net Electricity Production,Total Combustible Fuels,1118.7898,GWh
Ireland,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",92.9112,GWh
Ireland,12/1/2023,Net Electricity Production,Oil and Petroleum Products,10.6531,GWh
Ireland,12/1/2023,Net Electricity Production,Natural Gas,912.6871,GWh
Ireland,12/1/2023,Net Electricity Production,Combustible Renewables,83.875,GWh
Ireland,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,18.6634,GWh
Ireland,12/1/2023,Net Electricity Production,Hydro,145.952,GWh
Ireland,12/1/2023,Net Electricity Production,Wind,1622.4873,GWh
Ireland,12/1/2023,Net Electricity Production,Solar,1.4748,GWh
Ireland,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1853.7892,GWh
Ireland,12/1/2023,Total Imports,Electricity,306.9753,GWh
Ireland,12/1/2023,Total Exports,Electricity,46.4877,GWh
Ireland,12/1/2023,Used for pumped storage,Electricity,45.2048,GWh
Ireland,12/1/2023,Distribution Losses,Electricity,230.212,GWh
Ireland,12/1/2023,Final Consumption (Calculated),Electricity,2873.7748,GWh
Italy,12/1/2023,Net Electricity Production,Electricity,20644.1092,GWh
Italy,12/1/2023,Net Electricity Production,Total Combustible Fuels,13089.0451,GWh
Italy,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",1108.3487,GWh
Italy,12/1/2023,Net Electricity Production,Oil and Petroleum Products,538.8791,GWh
Italy,12/1/2023,Net Electricity Production,Natural Gas,10015.0507,GWh
Italy,12/1/2023,Net Electricity Production,Combustible Renewables,1261.2759,GWh
Italy,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,165.4907,GWh
Italy,12/1/2023,Net Electricity Production,Hydro,3422.9405,GWh
Italy,12/1/2023,Net Electricity Production,Wind,2453.3831,GWh
Italy,12/1/2023,Net Electricity Production,Solar,1177.1961,GWh
Italy,12/1/2023,Net Electricity Production,Geothermal,458.5392,GWh
Italy,12/1/2023,Net Electricity Production,Not Specified,43.0052,GWh
Italy,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",8773.3348,GWh
Italy,12/1/2023,Total Imports,Electricity,4925.1314,GWh
Italy,12/1/2023,Total Exports,Electricity,403.3745,GWh
Italy,12/1/2023,Used for pumped storage,Electricity,140.3881,GWh
Italy,12/1/2023,Distribution Losses,Electricity,1474.0979,GWh
Italy,12/1/2023,Final Consumption (Calculated),Electricity,23551.38,GWh
Japan,12/1/2023,Remarks,Data is estimated for this month,,GWh
Japan,12/1/2023,Net Electricity Production,Electricity,86387.0916,GWh
Japan,12/1/2023,Net Electricity Production,Nuclear,6270.9028,GWh
Japan,12/1/2023,Net Electricity Production,Total Combustible Fuels,65902.3298,GWh
Japan,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",27294.077,GWh
Japan,12/1/2023,Net Electricity Production,Oil and Petroleum Products,3849.7069,GWh
Japan,12/1/2023,Net Electricity Production,Natural Gas,29001.743,GWh
Japan,12/1/2023,Net Electricity Production,Combustible Renewables,4019.2579,GWh
Japan,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,1737.5452,GWh
Japan,12/1/2023,Net Electricity Production,Hydro,5639.2773,GWh
Japan,12/1/2023,Net Electricity Production,Wind,1248.7101,GWh
Japan,12/1/2023,Net Electricity Production,Solar,5548.9958,GWh
Japan,12/1/2023,Net Electricity Production,Geothermal,277.9416,GWh
Japan,12/1/2023,Net Electricity Production,Not Specified,1498.9342,GWh
Japan,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",16734.1827,GWh
Japan,12/1/2023,Used for pumped storage,Electricity,893.9144,GWh
Japan,12/1/2023,Distribution Losses,Electricity,5376.5302,GWh
Japan,12/1/2023,Final Consumption (Calculated),Electricity,80116.647,GWh
Korea,12/1/2023,Net Electricity Production,Electricity,52386.7117,GWh
Korea,12/1/2023,Net Electricity Production,Nuclear,15506.4302,GWh
Korea,12/1/2023,Net Electricity Production,Total Combustible Fuels,33958.6116,GWh
Korea,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",17315.3673,GWh
Korea,12/1/2023,Net Electricity Production,Oil and Petroleum Products,340.2958,GWh
Korea,12/1/2023,Net Electricity Production,Natural Gas,14797.5314,GWh
Korea,12/1/2023,Net Electricity Production,Combustible Renewables,1315.9584,GWh
Korea,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,189.4586,GWh
Korea,12/1/2023,Net Electricity Production,Hydro,571.1617,GWh
Korea,12/1/2023,Net Electricity Production,Wind,410.6119,GWh
Korea,12/1/2023,Net Electricity Production,Solar,1475.8362,GWh
Korea,12/1/2023,Net Electricity Production,Other Renewables,59.7915,GWh
Korea,12/1/2023,Net Electricity Production,Not Specified,404.2687,GWh
Korea,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3833.3597,GWh
Korea,12/1/2023,Used for pumped storage,Electricity,383.4936,GWh
Korea,12/1/2023,Distribution Losses,Electricity,1753.2359,GWh
Korea,12/1/2023,Final Consumption (Calculated),Electricity,50249.9821,GWh
Latvia,12/1/2023,Net Electricity Production,Electricity,588.95,GWh
Latvia,12/1/2023,Net Electricity Production,Total Combustible Fuels,222.8761,GWh
Latvia,12/1/2023,Net Electricity Production,Natural Gas,172.7781,GWh
Latvia,12/1/2023,Net Electricity Production,Combustible Renewables,50.098,GWh
Latvia,12/1/2023,Net Electricity Production,Hydro,341.6659,GWh
Latvia,12/1/2023,Net Electricity Production,Wind,24.3517,GWh
Latvia,12/1/2023,Net Electricity Production,Solar,0.0564,GWh
Latvia,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",416.1719,GWh
Latvia,12/1/2023,Total Imports,Electricity,311.9579,GWh
Latvia,12/1/2023,Total Exports,Electricity,249.0633,GWh
Latvia,12/1/2023,Distribution Losses,Electricity,34.7032,GWh
Latvia,12/1/2023,Final Consumption (Calculated),Electricity,617.1414,GWh
Lithuania,12/1/2023,Net Electricity Production,Electricity,600.2822,GWh
Lithuania,12/1/2023,Net Electricity Production,Total Combustible Fuels,192.4687,GWh
Lithuania,12/1/2023,Net Electricity Production,Oil and Petroleum Products,12.2614,GWh
Lithuania,12/1/2023,Net Electricity Production,Natural Gas,105.2801,GWh
Lithuania,12/1/2023,Net Electricity Production,Combustible Renewables,32.8259,GWh
